Provinsi,Kabupaten/Kota,Produksi (Ton),Luas (ha)
Sumatera Barat,Kab. Kepulauan Mentawai,721.8,21.5
Sumatera Barat,Kab. Pesisir Selatan,9000.2,44.4
Sumatera Barat,Kab. Solok,27858.8,160.0
Sumatera Barat,Kab. Sijunjung,3278,38.8
Sumatera Barat,Kab. Tanah Datar,21972,265.4
Sumatera Barat,Kab. Padang Pariaman,4131.2,43.1
Sumatera Barat,Kab. Agam,53526,308.1
Sumatera Barat,Kab. Lima Puluh Kota,40334.2,203.9
Sumatera Barat,Kab. Pasaman,9328.8,134.9
Sumatera Barat,Kab. Solok Selatan,64697.9,266.5
Sumatera Barat,Kab. Dharmasraya,1120.9,22.3
Sumatera Barat,Kab. Pasaman Barat,50688.5,400.1
Sumatera Barat,Kota Padang,1034.4,7.9
Sumatera Barat,Kota Solok,729.8,7.7
Sumatera Barat,Kota Sawahlunto,1624.7,9.3
Sumatera Barat,Kota Padang Panjang,2112.3,8.8
Sumatera Barat,Kota Bukittinggi,1077.2,6.5
Sumatera Barat,Kota Payakumbuh,399,5.7
Sumatera Barat,Kota Pariaman,365.6,10.5
Aceh,Simeulue,363.6,18.6
Aceh,Aceh Singkil,2066,21.9
Aceh,Aceh Selatan,8231.7,56.3
Aceh,Aceh Tenggara,6105.8,33.0
Aceh,Aceh Timur,8195.2,54.4
Aceh,Aceh Tengah,359227.7,875.6
Aceh,Aceh Barat,7536,39.9
Aceh,Aceh Besar,70137.8,237.2
Aceh,Pidie,39308,172.3
Aceh,Bireuen,8045.4,29.8
Aceh,Aceh Utara,14774,98.5
Aceh,Aceh Barat Daya,3705.2,35.4
Aceh,Gayo Lues,57309.5,234.8
Aceh,Aceh Tamiang,2113.9,17.5
Aceh,Nagan Raya,12032.1,57.5
Aceh,Aceh Jaya,5378.7,41.5
Aceh,Bener Meriah,153763.4,548.7
Aceh,Pidie Jaya,2706.7,20.2
Aceh,Banda Aceh,40502.2,6.5
Aceh,Sabang,747.8,6.7
Aceh,Langsa,289.8,4.9
Aceh,Lhokseumawe,448.4,7.7
Aceh,Subulussalam,2060,31.5
Sulawesi Selatan,Kepulauan Selayar,841,36.3
Sulawesi Selatan,Bulukumba,3915.2,50.4
Sulawesi Selatan,Bantaeng,10604.8,53.4
Sulawesi Selatan,Jeneponto,22053,555.4
Sulawesi Selatan,Takalar,24372.1,201.9
Sulawesi Selatan,Gowa,57279.2,389.5
Sulawesi Selatan,Sinjai,10204.3,48.0
Sulawesi Selatan,Maros,28579.8,108.9
Sulawesi Selatan,Pangkajene dan Kepulauan,1571,49.6
Sulawesi Selatan,Barru,2501.6,19.8
Sulawesi Selatan,Bone,15713,303.0
Sulawesi Selatan,Soppeng,5007.5,45.4
Sulawesi Selatan,Wajo,20530.2,367.6
Sulawesi Selatan,Sindereng Rappang,10762,122.2
Sulawesi Selatan,Pinrang,21447.9,77.4
Sulawesi Selatan,Enrekang,48852.8,339.6
Sulawesi Selatan,Luwu,5570.8,157.0
Sulawesi Selatan,Tana Toraja,11194.7,64.4
Sulawesi Selatan,Luwu Utara,12817.5,179.1
Sulawesi Selatan,Luwu Timur,2877.1,63.4
Sulawesi Selatan,Toraja Utara,1642.2,94.7
Sulawesi Selatan,Makassar,2877.7,28.5
Sulawesi Selatan,Parepare,474,8.5
Sulawesi Selatan,Palopo,912.4,20.8
Jawa Timur,Kab. Pacitan,12725.3,144.8
Jawa Timur,Kab. Ponorogo,37353.7,321.5
Jawa Timur,Kab. Trenggalek,13790,153.9
Jawa Timur,Kab. Tulungagung,30334.5,168.2
Jawa Timur,Kab. Blitar,692045.8,3702.2
Jawa Timur,Kab. Kediri,471252.7,2932.2
Jawa Timur,Kab. Malang,629599.6,1790.5
Jawa Timur,Kab. Lumajang,137928,845.1
Jawa Timur,Kab. Jember,154557.9,995.4
Jawa Timur,Kab. Banyuwangi,235912.2,1973.6
Jawa Timur,Kab. Bondowoso,92096.2,710.9
Jawa Timur,Kab. Situbondo,152345.6,1579.3
Jawa Timur,Kab. Probolinggo,262863.7,1780.1
Jawa Timur,Kab. Pasuruan,20558.3,236.4
Jawa Timur,Kab. Sidoarjo,431.7,6.4
Jawa Timur,Kab. Mojokerto,84717.1,1348.2
Jawa Timur,Kab. Jombang,111772.7,381.8
Jawa Timur,Kab. Nganjuk,103098.3,549.4
Jawa Timur,Kab. Madiun,1832.2,15.5
Jawa Timur,Kab. Magetan,14884,125.6
Jawa Timur,Kab. Ngawi,24710.1,117.8
Jawa Timur,Kab. Bojonegoro,29451.4,257.9
Jawa Timur,Kab. Tuban,396340.5,3310.0
Jawa Timur,Kab. Lamongan,221375.5,1445.0
Jawa Timur,Kab. Gresik,147352.9,755.6
Jawa Timur,Kab. Bangkalan,14768.5,323.7
Jawa Timur,Kab. Sampang,373658.8,1901.8
Jawa Timur,Kab. Pamekasan,123804.9,1044.5
Jawa Timur,Kab. Sumenep,104329.2,1075.3
Jawa Timur,Kota Kediri,2964.2,8.1
Jawa Timur,Kota Blitar,4715.2,50.7
Jawa Timur,Kota Malang,800.6,15.8
Jawa Timur,Kota Probolinggo,3510.9,56.5
Jawa Timur,Kota Pasuruan,40502.2,6.5
Jawa Timur,Kota Mojokerto,40502.2,6.5
Jawa Timur,Kota Madiun,741.5,8.4
Jawa Timur,Kota Surabaya,2448.3,36.6
Jawa Timur,Kota Batu,17883.1,96.7
Sulawesi Tenggara,Buton,4183.3,42.1
Sulawesi Tenggara,Muna,13230.7,131.9
Sulawesi Tenggara,Konawe,10233.8,76.6
Sulawesi Tenggara,Kolaka,3508.9,110.3
Sulawesi Tenggara,Konawe Selatan,15375.8,167.8
Sulawesi Tenggara,Bombana,2098.6,118.6
Sulawesi Tenggara,Wakatobi,573.8,8.2
Sulawesi Tenggara,Kolaka Utara,7762.4,115.4
Sulawesi Tenggara,Buton Utara,766.1,18.1
Sulawesi Tenggara,Konawe Utara,4034.6,25.8
Sulawesi Tenggara,Kolaka Timur,3987.7,85.5
Sulawesi Tenggara,Konawe Kepulauan,629.5,17.7
Sulawesi Tenggara,Muna Barat,4515.5,44.9
Sulawesi Tenggara,Buton Tengah,1645.6,35.3
Sulawesi Tenggara,Buton Selatan,709.9,9.9
Sulawesi Tenggara,Kota Kendari,1945.3,28.8
Sulawesi Tenggara,Kota Baubau,672.9,9.5
